Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['17.[475][A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 864 ? 3,20;864;3,2;RS 17.[475] [A];Alphabetic;Ugaritic;26 x 17 x 6;;;;
RS;['17.[475][B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 864 ? 3,20;864;3,2;RS 17.[475] [B];Alphabetic;Ugaritic;23 x 15 x 7;;;;
RS;['17.[475][C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 864 ? 3,20;864;3,2;RS 17.[475] [C];Alphabetic;Ugaritic;14 x 23 x 7;;;;
RS;['17.[476]'];;;Vessel, Hieroglyphic Egyptian;;Vessel;;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1032, ? 0,50;1032;0,5;RS 17.[476];Hieroglyphic;Egyptian;(?);;;;
RS;['16.142'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4257;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.142;Logosyllabic;Akkadian;57 x 49 x 21;;;;
RS;['17.[479]=', '17.[479]', '28.056'];;;Tablet;;Tablet;;;;;;;RS 17.[479];;;;;;;
RS;['16.143'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4258;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.143;Logosyllabic;Akkadian;60 x 51 x 22;;;;
RS;['16.144'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4259;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.144;Logosyllabic;Akkadian;61 x 53 x 27;;;;
RS;['16.145'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4260;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.145;Logosyllabic;Akkadian;53 x 50 x 21;;;;
RS;['17.002'];;;Scarab, Hieroglyphic Egyptian;;Scarab;DO 2606;Debris;;Déblais, p.t. 565;;;RS 17.002;Hieroglyphic;Egyptian;17 x 12 x 7;;;;
RS;['16.147'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4262;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.147;Logosyllabic;Akkadian;56 x 52 x 17;;;;
RS;['16.149'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.149;Logosyllabic;Akkadian;16 x 52 x 20;;;;
RS;['17.006'];;;Tablet, Syllabic Cypro-Minoan;;Tablet;DO 4515;Residential District;;Quartier Résidentiel, en surface, pendant l'hiver (p.t. 570);;;RS 17.006;Cypro-Minoan;Cypro-Minoan?;39 x 42 x 18;;;;
RS;['17.007', '17.017'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4516;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 576 ? 0,85;576;0,85;RS 17.007+;Alphabetic;Ugaritic;98 x 77 x 17;3.16;;;
RS;['17.008'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4517;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 573 ? 0,50 (région Tr. Est);573;0,5;RS 17.008;Alphabetic;Ugaritic;31 x 28 x 11;4.259;;;
RS;['17.009'];;;Tablet;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 65, (Archives Centrales), p.t. 574 ? 0,60;574;0,6;;;;120 x 125 x 34;;;;
RS;['16.150'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4264;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 399 ? 0,76;399;0,76;RS 16.150;Logosyllabic;Akkadian;70 x 57 x 25;;;;
RS;['17.016'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4519;Royal Palace;;Palais Royal, ? l'ouest de cour III, p.t. 567 ? 0,15;567;0,15;RS 17.016;Alphabetic;Ugaritic;60 x 101 x 13;4.260;;;
RS;['16.151'];PRAVDA;Administrative;Tablet, Logosyllabic Akkadian;;Tablet;DO 4265;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 379 ? 2,78;379;2,78;RS 16.151;Logosyllabic;Akkadian;23 x 38 x 23;;;;
RS;['16.153'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4266;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.153;Logosyllabic;Akkadian;61 x 53 x 25;;;;
RS;['16.154'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4267;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 430 ? 1,35;430;1,35;RS 16.154;Logosyllabic;Akkadian;73 x 61 x 26;;;;
RS;['16.155'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4268;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 427 ? 0,80;427;0,8;RS 16.155;Logosyllabic;Akkadian;68 x 86 x 29;;;;
RS;['16.156'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4269;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.156;Logosyllabic;Akkadian;66 x 57 x 26;;;;
RS;['17.023'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4524;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 588 ? 1,40;588;1,4;RS 17.023;Alphabetic;Ugaritic;98 x 64 x 32;4.261;;;
RS;['5.180', '5.198'];;;Tablet, Alphabetic Ugaritic;;Tablet;M8498 = A2798 + M3373 = A2799;Acropolis;;Acropole «Tr. T IV p.t. 79 ? 0,80» (= p.t. 485);79;0,8;RS 5.180+;Alphabetic;Ugaritic;82 x 72 x 28 105 x 64 x 25;1.7;myth;;
RS;['5.300'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 17.272;Acropolis;;Acropole «Tombe V, remplissage, ? 1,0-1,10» (= p.t. 583);;;"RS 5.300; RS 5.300 reconstructed";Alphabetic;Ugaritic;121 x 82 x 32;1.71;medical (hippiatric);;
RS;['16.157'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4270;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.157;Logosyllabic;Akkadian;64 x 55 x 24;;;;
RS;['17.031', '17.323', '17.031=17.323'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4528;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 610 ? 1,80;610;1,8;RS 17.031;Alphabetic;Ugaritic;71 x 74 x 30;4.296;;;
RS;['16.158'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4271;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.158;Logosyllabic;Akkadian;60 x 50 x 20;;;;
RS;['16.160'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4272;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.160;Logosyllabic;Akkadian;58 x 48 x 23;;;;
RS;['16.161', '16.146'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4261;Royal Palace;Central archive;Palais Royal, cour IV (Arch. Centrales), p.t. 383 ? 0.75-0,80;383;;RS 16.146+;Logosyllabic;Akkadian;123 x 89 x 34;;;;
RS;['16.162'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4273;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 415 ? 1,20;415;1,2;RS 16.162;Logosyllabic;Akkadian;64 x 51 x 23;;;;
RS;['16.163'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 415 ? 1,20;415;1,2;RS 16.163;Logosyllabic;Akkadian;27 x 21 x 20;;;;
RS;['16.166'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4275;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 431 ? 1,50;431;1,5;RS 16.166;Logosyllabic;Akkadian;55 x 50 x 26;;;;
RS;['16.167'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4276;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,55;432;0,55;RS 16.167;Logosyllabic;Akkadian;55 x 51 x 25;;;;
RS;['17.049'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4539;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 0,85;901;0,85;RS 17.049;Alphabetic;Ugaritic;74 x 56 x 24;4.263;;;
RS;['16.170'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4277;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 441 ? 0,60;441;0,6;RS 16.170;Logosyllabic;Akkadian;66 x 64 x 22;;;;
RS;['16.171'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4278;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,60;432;0,6;RS 16.171;Logosyllabic;Akkadian;49 x 47 x 24;;;;
RS;['17.051', '17.292', '17.292='];;;Tablet;;Tablet;;;;;;;RS 17.292;;;;;;;
RS;['17.052'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4541;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 0,85;901;0,85;RS 17.052;Alphabetic;Ugaritic;61 x 75 x 21;4.264;;;
RS;['16.172'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4279;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,60;432;0,6;RS 16.172;Logosyllabic;Akkadian;52 x 27 x 11;;;;
RS;['17.053', '17.113', '17.113='];;;Tablet;;Tablet;;;;;;;RS 17.113;;;;;;;
RS;['17.058'];;;Vessel, Hieroglyphic Egyptian;;Vessel;DO 4465;Royal Palace;;Palais Royal, cour V, p.t. 766 ? 0,40;766;0,4;RS 17.058;Hieroglyphic;Egyptian;Objet: 200 x 190 x 30 Inscr.: 90 x 83;;;;
RS;['16.173'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4280;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 440 ? 0,65;440;0,65;RS 16.173;Logosyllabic;Akkadian;56 x 59 x 24;;;;
RS;['16.174'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4281;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 431 ? 1,55;431;1,55;RS 16.174;Logosyllabic;Akkadian;40 x 50 x 22;;;;
RS;['16.175'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4282;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 438 ? 0,70;438;0,7;RS 16.175;Logosyllabic;Akkadian;36 x 27 x 20;;;;
RS;['5.285', '5.301'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3348 = A2730 (AO 17.273);Acropolis;;Acro, «Dans T. V, m?me rég., ? 0,50 au- dessous du seuil» (=p.t. 583);;;"RS 5.285+; RS 5.285+ reconstructed";Alphabetic;Ugaritic;135 x 78 x 34;1.72;medical (hippiatric);;
RS;['16.178'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4285;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 409 ? 0,85;409;0,85;RS 16.178;Logosyllabic;Akkadian;85 x 62 x 31;;;;
RS;['16.179'];PRAVDA;;Tablet, Alphabetic Ugaritic with Akkadian summaries;;Tablet;DO 4286;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 424 ? 1,30;424;1,3;RS 16.179;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";125 x 123 x 35;4.219;;;
RS;['16.180'];;;Tablet, Logosyllabic Akkadian possibly with alphabetic script;;Tablet;DO 4287;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 414 ? 0,50;414;0,5;RS 16.180;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";76 x 60 x 27;5.25;;;
RS;['16.181', '16.113', '16.113='];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4288;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 361 ? 0,40;361;0,4;;Logosyllabic;Akkadian;80 x 66 x 27;;;;
RS;['16.182', '16.199'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4289;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 374 ? 0,70;374;0,7;RS 16.182+;Logosyllabic;Akkadian;95 x 73 x 40;;;;
RS;['16.184'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4290;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 405 ? 0,94;405;0,94;RS 16.184;Logosyllabic;Akkadian;70 x 40 x 26;;;;
RS;['16.185'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,55;432;0,55;RS 16.185;Logosyllabic;Akkadian;27 x 21 x 11;;;;
RS;['17.070', '17.070=', '17.033'];;;Tablet;;Tablet;;;;;;;RS 17.070;;;;;;;
RS;['17.071'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4552;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 852 ? 3,10;852;3,1;RS 17.071;Alphabetic;Ugaritic;34 x 40 x 20;4.265;;;
RS;['17.072'];;;Label, Alphabetic Ugaritic;;Label;DO 4553;Royal Palace;;Palais Royal, cour V, p.t. 746 ? 0,45;746;0,45;RS 17.072;Alphabetic;Ugaritic;15 x 23 x 21;6.24;;;
RS;['17.073'];PRAVDA;;Label, Alphabetic Ugaritic;;Label;DO 4554;Royal Palace;;Palais Royal, cour V, p.t. 746 ? 0,45;746;0,45;RS 17.073;Alphabetic;Ugaritic;21 x 29 x 28;6.25;;;
RS;['17.074'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4555;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 776 ? 3,80;776;3,8;RS 17.074;Alphabetic;Ugaritic;73 x 58 x 18;4.266;+seal/religious administration/royal/pgrm/record;+seal/religious administration/royal/pgrm/record;
RS;['16.186'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4291;Royal Palace;;Palais Royal, room 62, p.t. 351 ? 1,70;351;1,7;RS 16.186;Logosyllabic;Akkadian;55 x 34 x 28;;;;
RS;['17.076', '17.076=', '17.028'];;;Tablet;;Tablet;;;;;;;RS 17.076;;;;;;;
RS;['16.187[A]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 350 ? 2,15;350;2,15;RS 16.187 [A];Logosyllabic;Akkadian;23 x 18 x 11;;;;
RS;['16.187[B]'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4292;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 350 ? 2,15;350;2,15;RS 16.187 [B];Logosyllabic;Akkadian;62 x 66 x 22;;;;
RS;['16.187[C]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 350 ? 2,15;350;2,15;RS 16.187 [C];Logosyllabic;Akkadian;(illisible) 46 x 27 x 10;;;;
RS;['16.188'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4293;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 371 ? 0,72;371;0,72;RS 16.188;Logosyllabic;Akkadian;61 x 56 x 29;;;;
RS;['16.189'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4294;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 391 ? 0,85;391;0,85;RS 16.189;Logosyllabic;Akkadian;64 x 60 x 28;;;;
RS;['16.190'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4295;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 391 ? 0,85;391;0,85;RS 16.190;Logosyllabic;Akkadian;60 x 53 x 22;;;;
RS;['16.191A'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 429 ? 0,70;429;0,7;RS 16.191A;Logosyllabic;Akkadian;26 x 48 x 20;;;;
RS;['16.191B'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 429 ? 0,70;429;0,7;RS 16.191B;Logosyllabic;Akkadian;21 x 36 x 18;;;;
RS;['16.197'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4303;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.197;Logosyllabic;Akkadian;65 x 53 x 25;;;;
RS;['16.198[B]'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4305;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.198 [B];Logosyllabic;Akkadian;54 x 57 x 24;;;;
RS;['16.200'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 3564;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.200;Logosyllabic;Akkadian;61 x 53 x 27;;;;
RS;['17.090'];;;Sword, Hieroglyphic Egyptian;;Sword;DO 3591;Residential District;;Quartier Résidentiel, Maison de l'Armurier, p.t. 912, ? 1,50;912;1,5;RS 17.090;Hieroglyphic;Egyptian;745 x 40 x 50 (cartouche = 29 x 15);;;;
RS;['16.201'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4306;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.201;Logosyllabic;Akkadian;110 x 70 x 32;;;;
RS;['16.202'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4307;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.202;Logosyllabic;Akkadian;82 x 73 x 37;;;;
RS;['16.203'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.203;Logosyllabic;Akkadian;35 x 51 x 28;;;;
RS;['17.100[A]', '17.100[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4569 [A, B];Royal Palace;Room 90 archive;Palais Royal, room 90, p.t. 1016 ? 2,30;1016;2,3;RS 17.100 [A]+;Alphabetic;Ugaritic;A: 73 x 58 x 26 B: 58 x 40 x 27;1.84;ritual;;
RS;['17.100[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4569 [C];Royal Palace;Room 90 archive;Palais Royal, room 90, p.t. 1016 ? 2,30;1016;2,3;RS 17.100 [C];Alphabetic;Ugaritic;33 x 39 x 12;4.871;;;
RS;['16.204'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4308;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.204;Logosyllabic;Akkadian;115 x 84 x 35;;;;
RS;['17.103'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4571;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,20;901;3,2;RS 17.103;Alphabetic;Ugaritic;56 x 70 x 24;4.267;;;
RS;['17.104[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 861 ? 3,20;861;3,2;RS 17.104 [A];Alphabetic;Ugaritic;10 x 28 x 10;;;;
RS;['17.104'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4572;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 861 ? 3,20;861;3,2;RS 17.104;Alphabetic;Ugaritic;39 x 55 x 15;4.268;;;
RS;['17.106'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4573;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 903 ? 0,30;903;0,3;RS 17.106;Alphabetic;Ugaritic;163 x 112 x 27;4.269;;;
RS;['16.205', '16.192A'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4298;Royal Palace;;Palais Royal, room 62, p.t. 331 ? 1,30;331;1,3;RS 16.192A+;Logosyllabic;Akkadian;65 x 59 x 25;;;;
RS;['16.206'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4309;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.206;Logosyllabic;Akkadian;46 x 47 x 24;;;;
RS;['16.207'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4310;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.207;Logosyllabic;Akkadian;73 x 59 x 26;;;;
RS;['16.208'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4311;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,93;406;0,93;RS 16.208;Logosyllabic;Akkadian;57 x 51 x 22;;;;
RS;['17.111'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4578;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 863 ? 3,20;863;3,2;RS 17.111;Alphabetic;Ugaritic;67 x 88 x 23;4.270;;;
RS;['16.238', '16.254'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4312;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.238+;Logosyllabic;Akkadian;66 x 52 x 26;;;;
RS;['16.239'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4313;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.239;Logosyllabic;Akkadian;73 x 62 x 25;;;;
RS;['17.115'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4581;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 863 ? 3,20;863;3,2;RS 17.115;Alphabetic;Ugaritic;128 x 80 x 19;4.271;;;
RS;['16.240'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4314;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.240;Logosyllabic;Akkadian;57 x 58 x 13;;;;
RS;['6.138'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 18.844;Acropolis;;Acropole «Tranchée banquette pr?s temple, p.t. 4 ? 1,25»;4;1,25;RS 6.138;Alphabetic;Ugaritic;45 x 70 x 23;1.74;scribal exercise?/list (sacrifices)?;;
RS;['17.118'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4584;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 868 ? 3,20;868;3,2;RS 17.118;Alphabetic;Ugaritic;39 x 52 x 15;4.272;;;
RS;['6.174'];;;Tablet, Alphabetic Ugaritic;;Tablet;AO 18.846;Acropolis;;Acro., ? l'E du Temple de Baal, «Tr. 76, p.t. 118 ? 1,25» (= p.t. 764);118;1,25;RS 6.174;Alphabetic;Ugaritic;46 x 65 x 29;1.75;myth?/religious?;;
RS;['16.241', '16.339', '16.261'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4315;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.241+;Logosyllabic;Akkadian;93 x 69 x 28;;;;
RS;['17.122'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 863 ? 3,20;863;3,2;RS 17.122;Alphabetic;Ugaritic;66 x 96 x 21;4.273;;;
RS;['16.242'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4316;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.242;Logosyllabic;Akkadian;81 x 67 x 35;;;;
RS;['17.124'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4588;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 863 ? 3,20;863;3,2;RS 17.124;Alphabetic;Ugaritic;70 x 80 x 24;4.274;;;
RS;['17.125'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4589;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 1,80;901;1,8;RS 17.125;Alphabetic;Ugaritic;60 x 55 x 20;4.275;;;ritual?/religious? by KTU, but probably not
RS;['16.243'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4317;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.243;Logosyllabic;Akkadian;77 x 70 x 44;;;;
RS;['16.244'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4318;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.244;Logosyllabic;Akkadian;63 x 49 x 24;;;;
RS;['16.245'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4319;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.245;Logosyllabic;Akkadian;62 x 64 x 27;;;;
RS;['16.246'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4320;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.246;Logosyllabic;Akkadian;62 x 54 x 22;;;;
RS;['16.247'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4321;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.247;Logosyllabic;Akkadian;56 x 49 x 24;;;;
RS;['16.248'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4322;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 444 ? 0,68;444;0,68;RS 16.248;Logosyllabic;Akkadian;54 x 48 x 24;;;;
